run,handoffs,arrived,arrival_denied,contact,blocked,size_drop,center_fail,lost,strayed,gave_up,pose_broken,locked,tgt_x,tgt_y,drone_x,drone_y,wall_gap
1,1,1,0,0,0,0,0,0,0,0,0,blue_box,3.96,1.20,4.48,-2.30,2.21
2,0,0,0,0,0,0,2,0,0,0,1,,,,,,
3,1,1,0,0,0,0,0,0,0,0,0,box,4.03,2.21,5.29,2.39,2.28
4,1,1,0,0,0,0,1,0,0,0,0,box,4.10,2.31,4.91,2.64,2.35
5,0,0,0,0,0,0,0,0,0,0,1,,,,,,
6,2,1,0,0,0,1,1,0,0,0,0,wall,2.57,2.39,0.59,4.68,0.03
7,2,1,0,0,0,1,0,0,0,0,0,box,2.65,2.27,0.74,4.52,0.02
8,2,1,0,0,1,0,0,0,0,0,0,wall,2.52,2.39,0.67,4.58,0.00
9,1,1,0,0,0,0,0,0,0,0,0,box,3.51,2.76,4.94,4.53,1.76
10,1,1,0,0,0,0,0,0,0,0,0,box,3.92,1.25,4.27,-2.75,2.17
