mismatch_deg,range_m,alt_cmd,alt_actual,alt_drop,geom_area,geom_dist_err,geom_brg_err,geom_reason,llm_naive_dist_err,llm_naive_brg_err,llm_naive_note,llm_posed_dist_err,llm_posed_brg_err,llm_posed_note
45.0,2.0,2.0,1.964,0.036,0.0245,0.602285131919599,2.3125084201625414,,1.0311288741492746,44.744881296942225,,0.031128874149274566,0.04488129694220788,
67.5,4.0,2.0,1.96,0.04,0.0044,0.5841889933077149,8.627387806970738,,0.46887112585072543,39.744881296942225,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
112.5,2.0,2.0,1.927,0.073,0.0179,0.013045305255047879,8.307868426759674,,1.7311288741492747,24.64488129694223,,0.031128874149274566,0.25511870305777506,
135.0,3.0,2.0,1.967,0.033,0.009,0.27479948942504695,9.346212201987079,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig",0.4311288741492745,26.255118703057775,
157.5,3.0,2.0,1.967,0.033,0.0078,0.5022338203181071,7.0151161486452045,,0.5311288741492746,34.744881296942225,,0.8311288741492744,41.85511870305777,
-180.0,4.0,2.0,1.949,0.051,0.0042,0.32048026814962327,21.109731985029136,,1.0311288741492746,29.744881296942225,,0.46887112585072543,3.1448812969422306,
-135.0,2.0,2.0,1.505,0.495,0.0203,0.6652180074414451,2.404882263235581,,1.0311288741492746,51.244881296942225,,1.5311288741492746,23.35511870305777,
-112.5,2.0,2.0,1.945,0.055,0.0287,0.5916927617167023,6.519992710811163,,0.6311288741492747,35.744881296942225,,0.4311288741492745,4.255118703057775,
-90.0,3.0,2.0,1.941,0.059,,,,boyut kapisi eledi,0.031128874149274566,29.744881296942225,,0.031128874149274566,0.04488129694220788,
-67.5,4.0,2.0,1.979,0.021,0.0044,0.16102288816711408,10.830279556737056,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig",,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
