mismatch_deg,range_m,alt_cmd,alt_actual,alt_drop,geom_area,geom_dist_err,geom_brg_err,geom_reason,llm_naive_dist_err,llm_naive_brg_err,llm_posed_dist_err,llm_posed_brg_err
45.0,2.0,2.0,1.961,0.039,0.0244,0.601116511375265,2.306165821580715,,,,,
67.5,2.0,2.0,1.945,0.055,0.018,0.42667576994437484,6.030760758214179,,,,,
67.5,3.0,2.0,1.981,0.019,0.0081,0.498210242140094,7.164342459125774,,,,,
67.5,4.0,2.0,1.713,0.287,0.0044,0.6168441507446696,9.180809628995029,,,,,
90.0,2.0,2.0,1.896,0.104,0.0291,0.3346336049913865,11.919238971873789,,,,,
90.0,3.0,2.0,1.941,0.059,0.0059,0.2564565614059542,8.634621327356065,,,,,
90.0,4.0,2.0,1.964,0.036,,,,boyut kapisi eledi,,,,
112.5,2.0,2.0,1.917,0.083,0.0179,0.01299852546981839,8.411448573078546,,,,,
112.5,3.0,2.0,1.96,0.04,0.008,0.006843908872494531,9.89893780925118,,,,,
112.5,4.0,2.0,1.964,0.036,0.0045,3.5421280077940764e-05,11.62814456500729,,,,,
135.0,2.0,2.0,1.945,0.055,0.0202,0.23037435872038792,7.898813039477216,,,,,
135.0,3.0,2.0,1.949,0.051,0.009,0.281917572122099,9.391114348134563,,,,,
135.0,4.0,2.0,1.979,0.021,0.0049,0.3176399955125282,10.517778953861026,,,,,
157.5,2.0,2.0,1.927,0.073,0.0175,0.4255967853096676,5.916591390112573,,,,,
157.5,3.0,2.0,1.945,0.055,0.0076,0.5044905060227727,7.045978026383935,,,,,
157.5,4.0,2.0,1.967,0.033,0.0043,0.5745280866813838,7.868934749628062,,,,,
-180.0,2.0,2.0,1.953,0.047,0.0123,0.5098553195362028,3.244950909337041,,,,,
-180.0,3.0,2.0,1.96,0.04,,,,boyut kapisi eledi,,,,
-180.0,4.0,2.0,1.979,0.021,0.0042,0.2962378761556925,21.215925487906826,,,,,
-157.5,2.0,2.0,1.964,0.036,0.0172,0.5986212547509702,0.8033566401455859,,,,,
-157.5,3.0,2.0,1.96,0.04,0.0076,0.7136299494113425,0.9675156558107949,,,,,
-157.5,4.0,2.0,1.945,0.055,0.0042,0.8302827134848396,1.0825401007916906,,,,,
-135.0,2.0,2.0,1.964,0.036,0.0199,0.5897468424556491,2.218402899764734,,,,,
-135.0,3.0,2.0,1.967,0.033,0.0088,0.6981668861757555,2.5537591600328695,,,,,
-135.0,4.0,2.0,1.945,0.055,0.0049,0.8178643001378028,2.8642246656122072,,,,,
-112.5,2.0,2.0,1.967,0.033,0.0287,0.5959622270434997,6.553641964127521,,,,,
-112.5,3.0,2.0,1.96,0.04,0.008,0.5419190198793977,5.4820793885505905,,,,,
-112.5,4.0,2.0,1.949,0.051,0.0045,0.6676727229084118,6.4541686810475225,,,,,
-90.0,2.0,2.0,1.953,0.047,0.0387,0.37992926326066634,8.404498639570832,,,,,
-90.0,3.0,2.0,1.949,0.051,,,,boyut kapisi eledi,,,,
-90.0,4.0,2.0,1.941,0.059,,,,boyut kapisi eledi,,,,
-67.5,2.0,2.0,1.96,0.04,0.0285,0.18933192414483369,10.366163267197155,,,,,
-67.5,3.0,2.0,1.945,0.055,0.0079,0.13790375521786746,9.678611275369892,,,,,
-67.5,4.0,2.0,1.949,0.051,0.0045,0.16824623080852152,11.124796973379304,,,,,
-45.0,2.0,2.0,1.923,0.077,0.0201,0.1365921024032022,8.926201769872758,,,,,
-45.0,3.0,2.0,1.964,0.036,0.0137,0.09860267776683829,12.670499727178857,,,,,
-45.0,4.0,2.0,1.97,0.03,0.0045,0.14203499769467998,11.87371884325699,,,,,
