mismatch_deg,range_m,alt_cmd,alt_actual,alt_drop,geom_area,geom_dist_err,geom_brg_err,geom_reason,llm_naive_dist_err,llm_naive_brg_err,llm_posed_dist_err,llm_posed_brg_err
45.0,2.0,2.0,1.949,0.051,0.0244,0.6052147473105114,2.329154750745098,,,,,
67.5,2.0,2.0,1.964,0.036,0.0182,0.4249904564193323,6.0061238614984775,,,,,
67.5,3.0,2.0,1.72,0.28,0.008,0.5627218939691025,8.198612001544738,,,,,
67.5,4.0,2.0,1.469,0.531,0.0044,0.8092554887680619,12.905205103232326,,,,,
90.0,2.0,2.0,1.949,0.051,0.0247,0.31723713060684267,11.294000271050884,,,,,
90.0,3.0,2.0,1.791,0.209,0.0256,0.5056122265411722,30.320264382192153,,,,,
90.0,4.0,2.0,-0.04,2.04,,,,isin yere ulasmadi,,,,
112.5,2.0,2.0,1.941,0.059,0.0179,0.012903811079386429,8.435112974117056,,,,,
112.5,3.0,2.0,1.616,0.384,0.0081,0.0038414808012827706,12.02551010899498,,,,,
112.5,4.0,2.0,1.44,0.56,0.0044,0.013189409871423585,13.848551191294174,,,,,
135.0,2.0,2.0,1.964,0.036,0.0204,0.22817109798066415,7.823234413351933,,,,,
135.0,3.0,2.0,1.632,0.368,0.0089,0.3118733604174171,10.450187425700417,,,,,
135.0,4.0,2.0,1.31,0.69,0.0048,0.44376723917726046,13.779541602375488,,,,,
157.5,2.0,2.0,1.953,0.047,0.0175,0.4231643240569083,5.879512679847846,,,,,
157.5,3.0,2.0,1.624,0.376,0.0078,0.570450467260514,7.82073884725997,,,,,
157.5,4.0,2.0,1.417,0.583,0.0042,0.6636399567530207,8.971295807991996,,,,,
-180.0,2.0,2.0,1.945,0.055,0.0122,0.50813260021404,3.2342744478264605,,,,,
-180.0,3.0,2.0,1.713,0.287,,,,boyut kapisi eledi,,,,
-180.0,4.0,2.0,1.358,0.642,0.0029,0.9339661999760409,5.686672404067601,,,,,
-157.5,2.0,2.0,1.976,0.024,0.0171,0.5936445427423838,0.7957772084175322,,,,,
-157.5,3.0,2.0,1.788,0.212,0.0077,0.7473481125687682,1.016053113987089,,,,,
-157.5,4.0,2.0,1.654,0.346,0.0042,0.8379997709328482,1.0970374756835035,,,,,
-135.0,2.0,2.0,1.949,0.051,0.0199,0.5962788662616925,2.2357996139516096,,,,,
-135.0,3.0,2.0,1.628,0.372,0.0088,0.7923241340348843,2.787086823257766,,,,,
-135.0,4.0,2.0,1.567,0.433,0.0048,0.9365390023378133,3.148817460768972,,,,,
-112.5,2.0,2.0,1.949,0.051,0.0288,0.6004093381191318,6.580885668926283,,,,,
-112.5,3.0,2.0,1.603,0.397,0.008,0.6829668547987975,6.589258332933323,,,,,
-112.5,4.0,2.0,1.302,0.698,0.0043,0.9289301063070372,8.222332818920837,,,,,
-90.0,2.0,2.0,1.949,0.051,0.0389,0.38359810791925497,8.46271479492029,,,,,
-90.0,3.0,2.0,1.62,0.38,0.0155,0.5279644055785271,10.556332854519466,,,,,
-90.0,4.0,2.0,1.593,0.407,,,,tespit yok,,,,
-67.5,2.0,2.0,1.949,0.051,0.0284,0.18949577230413972,10.375797226756177,,,,,
-67.5,3.0,2.0,1.723,0.277,0.0081,0.1608810059331658,10.657791748850688,,,,,
-67.5,4.0,2.0,1.453,0.547,0.0045,0.24777636121177693,14.047714585833965,,,,,
-45.0,2.0,2.0,1.967,0.033,0.0201,0.13809520599373437,8.613878044481599,,,,,
-45.0,3.0,2.0,1.723,0.277,0.009,0.1502299315867308,10.982456959667907,,,,,
-45.0,4.0,2.0,1.456,0.544,0.0045,0.1431867037734138,13.434483993484895,,,,,
45.0,2.0,2.0,1.967,0.033,0.0242,0.6035075737267563,2.319162405122357,,,,,
67.5,2.0,2.0,1.704,0.296,0.0182,0.44737285215728617,6.412544566061625,,,,,
67.5,3.0,2.0,1.456,0.544,0.0082,0.6094982348051681,9.057434493117647,,,,,
67.5,4.0,2.0,1.961,0.039,0.0044,0.5841725873842085,8.625791029400146,,,,,
90.0,2.0,2.0,1.637,0.363,0.0135,0.2322544040077097,7.83700757522572,,,,,
90.0,3.0,2.0,1.443,0.557,0.0061,0.27970292448223244,9.712459713838376,,,,,
90.0,4.0,2.0,1.949,0.051,,,,boyut kapisi eledi,,,,
112.5,2.0,2.0,1.79,0.21,0.0182,0.016982389086490635,8.421344233681527,,,,,
112.5,3.0,2.0,1.476,0.524,0.008,0.009237488035999775,10.969130491390606,,,,,
112.5,4.0,2.0,1.967,0.033,0.0045,0.0055187365960387424,11.363291363532067,,,,,
135.0,2.0,2.0,1.701,0.299,0.0205,0.2425786713328799,8.45424307182156,,,,,
135.0,3.0,2.0,1.473,0.527,0.0089,0.3153031910826378,10.56162269410315,,,,,
135.0,4.0,2.0,1.949,0.051,0.0049,0.3218604429310865,10.63694929616859,,,,,
157.5,2.0,2.0,1.714,0.286,0.0177,0.4348740456368345,6.005218699699631,,,,,
157.5,3.0,2.0,1.302,0.698,0.0077,0.6374972282463744,8.665705099976087,,,,,
157.5,4.0,2.0,1.964,0.036,0.0043,0.5692568615716036,7.803713602942905,,,,,
-180.0,2.0,2.0,1.776,0.224,0.0198,0.5755739751159394,2.371380873945415,,,,,
-180.0,3.0,2.0,1.533,0.467,0.0083,0.3673382761557562,19.891646052437675,,,,,
-180.0,4.0,2.0,1.945,0.055,0.0042,0.3139956646162263,21.11904533579274,,,,,
-157.5,2.0,2.0,1.755,0.245,0.0175,0.6340139249061316,0.9027432794986229,,,,,
-157.5,3.0,2.0,1.485,0.515,0.0076,0.8183505725698348,1.1151388828764333,,,,,
-157.5,4.0,2.0,1.964,0.036,0.0042,0.8248873241993735,1.075157603404797,,,,,
-135.0,2.0,2.0,1.726,0.274,0.0201,0.6062272317011734,2.2981480864700603,,,,,
-135.0,3.0,2.0,1.322,0.678,0.0087,0.8772805616841133,2.989784671574754,,,,,
-135.0,4.0,2.0,1.941,0.059,0.0049,0.8244118613869293,2.8806812051176873,,,,,
-112.5,2.0,2.0,1.684,0.316,0.0289,0.608673521809096,6.632621796953497,,,,,
-112.5,3.0,2.0,1.562,0.438,0.008,0.636276404364323,6.247934034950286,,,,,
-112.5,4.0,2.0,1.932,0.068,0.0044,0.6699715450985986,6.470318598469348,,,,,
-90.0,2.0,2.0,1.697,0.303,0.0392,0.4294395138087044,9.152745068509992,,,,,
-90.0,3.0,2.0,1.45,0.55,,,,boyut kapisi eledi,,,,
-90.0,4.0,2.0,1.961,0.039,,,,tespit yok,,,,
-67.5,2.0,2.0,1.636,0.364,0.0178,0.11283764545829644,8.493822947968189,,,,,
-67.5,3.0,2.0,1.437,0.563,0.0079,0.17982408426199648,11.609804057918623,,,,,
-67.5,4.0,2.0,1.979,0.021,0.0044,0.1649965311202477,10.993881549705437,,,,,
-45.0,2.0,2.0,1.655,0.345,0.0203,0.14158384085902354,9.298899078479218,,,,,
-45.0,3.0,2.0,1.472,0.528,0.0088,0.16102397651011646,13.698548836604111,,,,,
-45.0,4.0,2.0,1.964,0.036,,,,tespit yok,,,,
45.0,2.0,2.0,1.778,0.222,0.0246,0.623986743200196,2.3866601142410238,,,,,
67.5,2.0,2.0,1.338,0.662,0.0188,0.5134325871603074,7.497755796551038,,,,,
67.5,3.0,2.0,1.949,0.051,0.0081,0.5088392180276324,7.331694829021818,,,,,
67.5,4.0,2.0,1.701,0.299,0.0044,0.614154436330224,9.132453892110243,,,,,
90.0,2.0,2.0,1.355,0.645,0.014,0.26143975056806656,8.875388229190992,,,,,
90.0,3.0,2.0,1.979,0.021,0.0059,0.24818767434748246,8.32296436718673,,,,,
90.0,4.0,2.0,1.651,0.349,,,,boyut kapisi eledi,,,,
112.5,2.0,2.0,1.351,0.649,0.0186,0.015425841443543753,9.874181478709314,,,,,
