mismatch_deg,range_m,alt_cmd,alt_actual,alt_drop,geom_dist_err,geom_brg_err,geom_reason,llm_naive_dist_err,llm_naive_brg_err,llm_posed_dist_err,llm_posed_brg_err,geom_area
45.0,2.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
67.5,2.0,2.0,2.0,0.0,0.7758157815543401,6.2421149345352065,,,,,,0.0211
67.5,3.0,2.0,1.99,0.01,1.0634354584987293,19.438338340404982,,,,,,0.0179
67.5,4.0,2.0,1.981,0.019,1.404499073317211,34.436054074916434,,,,,,0.0183
90.0,2.0,2.0,1.971,0.029,0.7282459303883506,12.4286458840648,,,,,,0.0044
90.0,3.0,2.0,1.997,0.003,,,boyut kapisi eledi,,,,,
90.0,4.0,2.0,1.99,0.01,0.4909578866439861,23.857780693191174,,,,,,0.0061
112.5,2.0,2.0,1.981,0.019,0.17481842233133005,9.7210495150908,,,,,,0.006
112.5,3.0,2.0,1.971,0.029,0.012716697528147414,3.502291156957564,,,,,,0.0099
112.5,4.0,2.0,1.962,0.038,0.1598835863436232,23.669885741627063,,,,,,0.008
135.0,2.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
135.0,3.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
135.0,4.0,2.0,1.981,0.019,1.2254392562813123,26.57454328054948,,,,,,0.0204
157.5,2.0,2.0,1.972,0.028,0.6039913164668236,17.8368339746265,,,,,,0.0088
157.5,3.0,2.0,1.963,0.037,,,boyut kapisi eledi,,,,,
157.5,4.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
-180.0,2.0,2.0,1.96,0.04,0.9057579330326182,10.84327192002702,,,,,,0.0043
-180.0,3.0,2.0,1.98,0.02,1.4190632851800213,7.91860818098994,,,,,,0.0122
-180.0,4.0,2.0,1.971,0.029,1.5792512618488264,8.461798732149,,,,,,0.0132
-157.5,2.0,2.0,1.962,0.038,1.1023815812180735,23.87361417888414,,,,,,0.0043
-157.5,3.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
-157.5,4.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
-135.0,2.0,2.0,1.981,0.019,0.5162933470512479,2.1149149210482894,,,,,,0.0077
-135.0,3.0,2.0,1.971,0.029,1.8937167691294068,13.881154196148408,,,,,,0.0041
-135.0,4.0,2.0,1.962,0.038,,,boyut kapisi eledi,,,,,
-112.5,2.0,2.0,2.0,0.0,0.8966067048707589,13.582088374732104,,,,,,0.0049
