mismatch_deg,range_m,alt_cmd,alt_actual,alt_drop,geom_dist_err,geom_brg_err,geom_reason,llm_naive_dist_err,llm_naive_brg_err,llm_posed_dist_err,llm_posed_brg_err,geom_area
45.0,2.0,2.0,1.997,0.003,,,boyut kapisi eledi,,,,,
67.5,2.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
67.5,3.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
67.5,4.0,2.0,1.98,0.02,1.3897157971102763,33.505618090461816,,,,,,0.0181
90.0,2.0,2.0,1.97,0.03,0.7265307111529768,12.406227988703929,,,,,,0.0044
90.0,3.0,2.0,2.0,0.0,0.5019669756720408,26.49950676066391,,,,,,0.0265
90.0,4.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
112.5,2.0,2.0,1.98,0.02,0.18033289978442468,9.959489623805611,,,,,,0.006
112.5,3.0,2.0,1.97,0.03,0.07135815276417823,2.7752222861924287,,,,,,0.0099
112.5,4.0,2.0,2.0,0.0,0.147780292307643,23.07663890432494,,,,,,0.008
135.0,2.0,2.0,1.946,0.054,0.12109287298718652,16.444842559893523,,,,,,0.0044
135.0,3.0,2.0,1.979,0.021,0.6690235431859062,18.24126227671873,,,,,,0.0202
135.0,4.0,2.0,1.968,0.032,0.5776263623872833,15.944138013845294,,,,,,0.0206
157.5,2.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
157.5,3.0,2.0,1.99,0.01,1.1588232890034167,13.891468492629809,,,,,,0.0172
157.5,4.0,2.0,1.98,0.02,1.2371097382588792,14.585997428022962,,,,,,0.0078
-180.0,2.0,2.0,1.97,0.03,1.3599665481699752,20.547195248092606,,,,,,0.0076
-180.0,3.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
-180.0,4.0,2.0,1.99,0.01,1.1862167851683063,22.50760141896374,,,,,,0.0082
-157.5,2.0,2.0,1.98,0.02,1.1157146605870936,24.11321000732977,,,,,,0.0042
-157.5,3.0,2.0,1.844,0.156,1.660849646340111,2.015095727266148,,,,,,0.0175
-157.5,4.0,2.0,2.0,0.0,1.6009349891182003,1.9552075952425265,,,,,,0.0076
-135.0,2.0,2.0,1.99,0.01,1.1216818587783326,5.838447300563273,,,,,,0.0042
-135.0,3.0,2.0,1.979,0.021,1.561362891443018,4.514407267058157,,,,,,0.0198
-135.0,4.0,2.0,1.97,0.03,1.6305540365046607,4.675584957346045,,,,,,0.0088
-112.5,2.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
-112.5,3.0,2.0,1.99,0.01,1.477245192166217,11.961925538312732,,,,,,0.029
-112.5,4.0,2.0,1.979,0.021,2.193030592767861,15.18209067112512,,,,,,0.0289
-90.0,2.0,2.0,1.969,0.031,0.5790758864199761,32.03148706351496,,,,,,0.0078
-90.0,3.0,2.0,2.0,0.0,1.0459276599141294,17.165699523352032,,,,,,0.0384
-90.0,4.0,2.0,1.99,0.01,,,boyut kapisi eledi,,,,,
-67.5,2.0,2.0,1.98,0.02,,,boyut kapisi eledi,,,,,
-67.5,3.0,2.0,1.97,0.03,0.058175518540310556,2.3335624670479787,,,,,,0.0232
-67.5,4.0,2.0,1.998,0.002,0.5077843256077497,21.27136124850119,,,,,,0.0079
-45.0,2.0,2.0,1.955,0.045,0.4334765127700475,14.509755221655132,,,,,,0.0044
-45.0,3.0,2.0,1.978,0.022,0.13124895896497168,22.7371508139282,,,,,,0.0201
-45.0,4.0,2.0,1.839,0.161,0.09394246133244,25.862773143515565,,,,,,0.0089
45.0,2.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
67.5,2.0,2.0,1.99,0.01,0.4902705036402146,5.696710411657282,,,,,,0.0242
67.5,3.0,2.0,1.979,0.021,1.0419488732319198,18.823041394279937,,,,,,0.0182
67.5,4.0,2.0,1.969,0.031,1.0638115814142695,19.497765139856675,,,,,,0.008
90.0,2.0,2.0,2.0,0.0,,,boyut kapisi eledi,,,,,
90.0,3.0,2.0,1.956,0.044,0.4787948655623002,22.335872871163236,,,,,,0.0133
90.0,4.0,2.0,1.979,0.021,0.48305525565587404,22.785999070754418,,,,,,0.0059
112.5,2.0,2.0,1.874,0.126,,,boyut kapisi eledi,,,,,
112.5,3.0,2.0,2.0,0.0,0.09499633455767853,20.339278071017915,,,,,,0.018
112.5,4.0,2.0,1.947,0.053,0.17011988088217667,24.396335743155895,,,,,,0.008
135.0,2.0,2.0,1.98,0.02,0.11456480415159076,18.568937673708945,,,,,,0.0045
135.0,3.0,2.0,1.843,0.157,0.7193523147069794,19.189998176526714,,,,,,0.0202
135.0,4.0,2.0,2.0,0.0,0.6498956688257529,17.939244051083598,,,,,,0.0088
157.5,2.0,2.0,1.99,0.01,0.5616912525490307,15.64097917834303,,,,,,0.0048
157.5,3.0,2.0,1.98,0.02,0.3347849698073295,8.268926094843998,,,,,,0.0048
157.5,4.0,2.0,1.97,0.03,1.1815968357720283,13.64436926347491,,,,,,0.0182
-180.0,2.0,2.0,2.0,0.0,0.9820636840126409,12.1090159839071,,,,,,0.0043
-180.0,3.0,2.0,1.989,0.011,1.420005881640095,7.922248864455265,,,,,,0.0122
-180.0,4.0,2.0,1.979,0.021,1.1909095237421257,22.475180012438955,,,,,,0.0082
-157.5,2.0,2.0,1.97,0.03,1.1663780136607458,24.98339374389951,,,,,,0.0042
-157.5,3.0,2.0,2.0,0.0,0.9786260922200607,198.25560076872083,,,,,,0.003
-157.5,4.0,2.0,1.989,0.011,1.7053929562387848,2.055593446282787,,,,,,0.0077
-135.0,2.0,2.0,1.979,0.021,0.6625570016672535,2.8852843797194665,,,,,,0.0075
-135.0,3.0,2.0,1.969,0.031,2.416392593922029,24.770744203371425,,,,,,0.0041
-135.0,4.0,2.0,2.0,0.0,1.6407734239117637,4.694912210031767,,,,,,0.0088
-112.5,2.0,2.0,1.99,0.01,0.8545009472011857,12.652788488751057,,,,,,0.0048
-112.5,3.0,2.0,1.98,0.02,1.4568787862445722,11.8670249634375,,,,,,0.0288
-112.5,4.0,2.0,1.969,0.031,1.354854540269364,10.80268167792336,,,,,,0.008
-90.0,2.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
-90.0,3.0,2.0,-0.028,2.028,,,isin yere ulasmadi,,,,,
-90.0,4.0,2.0,2.0,0.0,,,isin yere ulasmadi,,,,,
-67.5,2.0,2.0,1.99,0.01,,,isin yere ulasmadi,,,,,
-67.5,3.0,2.0,1.981,0.019,0.05884064161141955,5.459140244903926,,,,,,0.008
-67.5,4.0,2.0,1.971,0.029,0.5621018005043448,22.61162944412615,,,,,,0.0185
-45.0,2.0,2.0,1.962,0.038,1.9182261754179608,34.3335149915869,,,,,,0.0075
-45.0,3.0,2.0,2.0,0.0,0.1292515312334359,22.956638449317428,,,,,,0.0201
-45.0,4.0,2.0,1.991,0.009,,,isin yere ulasmadi,,,,,
