wall_clock,x,y,z
14:45:17,0.000,0.000,-0.000
14:45:18,0.000,0.000,-0.002
14:45:19,-0.000,-0.000,-0.014
14:45:19,-0.000,-0.000,-0.013
14:45:20,-0.000,-0.000,-0.013
14:45:20,-0.000,-0.000,-0.013
14:45:21,-0.000,-0.000,-0.013
14:45:21,-0.000,-0.000,-0.013
14:45:22,-0.000,-0.000,-0.013
14:45:22,-0.000,-0.000,-0.013
14:45:23,-0.000,-0.000,-0.013
14:45:23,-0.000,-0.000,-0.013
14:45:24,-0.000,-0.000,-0.013
14:45:24,-0.000,-0.000,-0.013
14:45:25,-0.000,-0.000,-0.013
14:45:25,-0.000,-0.000,-0.013
14:45:26,-0.000,-0.000,-0.013
14:45:26,-0.000,-0.000,-0.013
14:45:27,-0.000,-0.000,-0.013
14:45:27,-0.000,-0.000,-0.013
14:45:28,-0.000,-0.000,-0.013
14:45:28,-0.000,-0.000,-0.013
14:45:29,-0.000,-0.000,-0.013
14:45:29,-0.000,-0.000,-0.013
14:45:30,-0.000,-0.000,-0.013
14:45:30,-0.000,-0.000,-0.013
14:45:31,-0.000,-0.000,-0.013
14:45:31,-0.000,-0.000,-0.013
14:45:32,-0.000,-0.000,-0.013
14:45:32,-0.000,-0.000,-0.013
14:45:33,-0.000,-0.000,-0.013
14:45:33,-0.000,-0.000,-0.013
14:45:34,-0.000,-0.000,-0.013
14:45:34,-0.000,-0.000,-0.013
14:45:35,-0.000,-0.000,-0.013
14:45:35,-0.000,-0.000,-0.013
14:45:36,-0.000,-0.000,-0.013
14:45:36,-0.000,-0.000,-0.013
14:45:37,-0.000,-0.000,-0.013
14:45:38,-0.000,-0.000,-0.013
14:45:38,-0.000,-0.000,-0.013
14:45:39,-0.000,-0.000,-0.013
14:45:39,-0.000,-0.000,-0.013
14:45:40,-0.000,-0.000,-0.013
14:45:40,-0.000,-0.000,-0.013
14:45:41,-0.000,-0.000,-0.013
14:45:41,-0.000,-0.000,-0.013
14:45:42,-0.000,-0.000,-0.013
14:45:42,0.003,0.000,0.046
14:45:43,0.056,0.033,0.575
14:45:43,0.099,0.062,1.638
14:45:44,0.119,0.076,2.224
14:45:44,0.117,0.075,1.871
14:45:45,0.120,0.078,1.672
14:45:45,0.123,0.081,1.631
14:45:46,0.124,0.083,1.642
14:45:46,0.124,0.085,1.675
14:45:47,0.124,0.084,1.713
14:45:47,0.124,0.080,1.754
14:45:48,0.122,0.075,1.794
14:45:48,0.121,0.069,1.828
14:45:49,0.120,0.062,1.860
14:45:49,0.121,0.054,1.888
14:45:50,0.122,0.046,1.910
14:45:50,0.120,0.041,1.929
14:45:51,0.116,0.040,1.943
14:45:51,0.107,0.043,1.954
14:45:52,0.098,0.047,1.962
14:45:52,0.087,0.053,1.968
14:45:53,0.077,0.061,1.971
14:45:53,0.069,0.070,1.976
14:45:54,0.064,0.077,1.981
14:45:54,0.061,0.080,1.984
14:45:55,0.059,0.079,1.986
14:45:55,0.060,0.075,1.987
14:45:56,0.061,0.071,1.989
14:45:56,0.061,0.069,1.989
14:45:57,0.060,0.069,1.990
14:45:57,0.059,0.070,1.992
14:45:58,0.058,0.070,1.992
14:45:58,0.057,0.070,1.994
14:45:59,0.056,0.072,1.996
