weights,object,seen,hit
runs/detect/runs/ft/world_ft/weights/best.pt,bowl,8,0
runs/detect/runs/ft/world_ft/weights/best.pt,headphones,5,0
runs/detect/runs/ft/world_ft/weights/best.pt,bottle,4,0
runs/detect/runs/ft/world_ft/weights/best.pt,chair,3,0
runs/detect/runs/ft/world_ft/weights/best.pt,table,7,0
runs/detect/runs/ft/world_ft/weights/best.pt,sofa,4,0
runs/detect/runs/ft/world_ft/weights/best.pt,bookshelf,7,0
runs/detect/runs/ft/world_ft/weights/best.pt,cabinet,4,0
runs/detect/runs/ft/world_ft/weights/best.pt,laptop,8,8
runs/detect/runs/ft/world_ft/weights/best.pt,book,7,7
runs/detect/runs/ft/world_ft/weights/best.pt,mug,8,8
runs/detect/runs/ft/world_ft/weights/best.pt,phone,5,5
