run,t,rank,conf,area,width,hue,world_x,world_y,drone_x,drone_y,nearest,box_err,is_box
1,5,0,0.298,0.0007,0.45,1,2.98,-0.34,-0.00,0.14,book,0.14,1
1,5,1,0.229,0.0006,0.47,4,3.15,-0.36,-0.00,0.14,book,0.17,1
1,5,2,0.159,0.0006,0.44,311,3.04,-0.35,-0.00,0.14,book,0.13,1
1,20,0,0.363,0.0007,0.45,12,3.03,-0.33,-0.02,0.08,book,0.11,1
1,20,1,0.220,0.0006,0.46,316,3.16,-0.35,-0.02,0.08,book,0.17,1
1,20,2,0.194,0.0006,0.45,4,3.21,-0.36,-0.02,0.08,book,0.21,1
1,50,0,0.736,0.0106,0.73,23,2.68,-0.75,2.07,-1.30,phone,0.65,0
1,74,0,0.155,0.0950,1.93,28,0.40,-0.30,0.66,-0.41,headphones,2.65,0
1,119,0,0.167,0.1401,0.37,28,-0.57,0.92,0.16,0.86,bookshelf,3.80,0
1,149,0,0.215,0.0011,0.68,337,2.81,-0.12,0.50,-0.38,phone,0.26,0
1,149,1,0.178,0.0011,0.79,252,3.01,-0.11,0.50,-0.38,book,0.12,1
1,149,2,0.159,0.0011,0.70,232,2.93,-0.11,0.50,-0.38,book,0.16,1
1,164,0,0.580,0.0042,1.14,14,3.04,-0.04,1.31,0.88,book,0.18,1
1,164,1,0.170,0.0048,1.35,244,2.26,0.33,1.31,0.88,bowl,0.96,0
1,184,0,0.168,0.1561,1.94,210,1.91,0.21,2.02,-0.01,bowl,1.22,0
1,199,0,0.371,0.0028,0.51,6,3.51,-0.43,1.85,0.61,book,0.51,0
1,199,1,0.219,0.0030,0.57,263,3.17,-0.21,1.85,0.61,book,0.12,1
2,5,0,0.302,0.0008,0.45,9,2.97,-0.33,0.06,-0.00,book,0.14,1
2,5,1,0.209,0.0006,0.46,7,3.13,-0.35,0.06,-0.00,book,0.15,1
2,5,2,0.201,0.0007,0.46,320,3.05,-0.34,0.06,-0.00,book,0.12,1
2,20,0,0.278,0.0007,0.45,339,2.94,-0.36,0.09,0.02,book,0.18,1
2,20,1,0.221,0.0007,0.46,332,3.06,-0.38,0.09,0.02,book,0.16,1
2,20,2,0.154,0.0006,0.46,18,3.13,-0.38,0.09,0.02,book,0.18,1
2,51,0,0.559,0.0031,0.50,13,3.03,-0.37,1.51,-1.17,book,0.15,1
2,51,1,0.384,0.0032,0.50,20,3.08,-0.35,1.51,-1.17,book,0.13,1
2,77,0,0.197,0.0924,1.95,28,0.41,-0.28,0.68,-0.39,headphones,2.64,0
2,107,0,0.221,0.0022,0.90,2,1.97,0.42,1.61,-1.40,bowl,1.26,0
