range_m,bearing_deg,is_box,conf,px,w_0.0,w_0.75,w_1.0,w_0.45,best_ratio
2.0,-60.0,1,0.709,145,0.65,0.402,0.32,0.502,1.003
2.0,-60.0,1,0.636,145,0.65,0.402,0.32,0.502,1.003
2.0,-60.0,0,0.437,570,2.64,1.634,1.298,2.036,2.596
2.0,-60.0,1,0.742,144,0.641,0.394,0.312,0.493,0.985
2.0,-60.0,1,0.627,144,0.64,0.394,0.312,0.492,0.984
2.0,-60.0,0,0.447,569,2.613,1.608,1.273,2.01,2.545
2.0,-30.0,1,0.583,136,0.606,0.374,0.297,0.467,0.933
2.0,-30.0,0,0.543,722,3.913,2.416,1.917,3.015,3.834
2.0,-30.0,1,0.475,137,0.61,0.377,0.299,0.47,0.94
2.0,-30.0,1,0.588,136,0.605,0.373,0.296,0.466,0.931
2.0,-30.0,0,0.541,722,3.906,2.409,1.91,3.008,3.82
2.0,-30.0,1,0.472,137,0.609,0.376,0.298,0.469,0.938
2.0,0.0,0,0.305,713,4.848,2.986,2.366,3.731,4.731
2.0,0.0,1,0.18,102,0.458,0.282,0.224,0.353,0.917
2.0,0.0,0,0.295,714,4.864,3.0,2.378,3.745,4.757
2.0,0.0,1,0.176,102,0.46,0.284,0.225,0.354,0.92
2.0,30.0,1,0.423,135,0.605,0.375,0.298,0.467,0.933
2.0,30.0,1,0.41,135,0.605,0.375,0.298,0.467,0.933
2.0,30.0,0,0.382,723,4.208,2.606,2.072,3.247,4.144
2.0,30.0,1,0.154,181,0.791,0.49,0.39,0.61,0.98
2.0,30.0,1,0.435,136,0.606,0.374,0.297,0.467,0.934
2.0,30.0,1,0.41,135,0.602,0.372,0.295,0.464,0.927
2.0,30.0,0,0.38,723,4.187,2.585,2.051,3.226,4.102
2.0,60.0,1,0.525,175,0.752,0.465,0.369,0.579,0.929
2.0,60.0,0,0.499,625,2.879,1.779,1.413,2.219,2.826
2.0,60.0,1,0.378,144,0.646,0.399,0.317,0.498,0.996
2.0,60.0,1,0.255,143,0.641,0.397,0.315,0.494,0.989
2.0,60.0,1,0.521,174,0.747,0.462,0.367,0.576,0.924
2.0,60.0,0,0.495,625,2.878,1.779,1.413,2.219,2.826
2.0,60.0,1,0.374,144,0.646,0.399,0.317,0.498,0.996
2.0,60.0,1,0.244,143,0.641,0.396,0.315,0.494,0.989
3.0,-60.0,0,0.622,581,2.794,1.725,1.369,2.153,2.738
3.0,-60.0,1,0.605,104,0.579,0.358,0.284,0.446,0.893
3.0,-60.0,1,0.498,104,0.579,0.358,0.284,0.446,0.893
3.0,-60.0,0,0.632,581,2.803,1.735,1.378,2.162,2.757
3.0,-60.0,1,0.563,104,0.58,0.359,0.285,0.448,0.895
3.0,-60.0,1,0.538,104,0.581,0.36,0.286,0.448,0.897
3.0,-30.0,1,0.687,99,0.552,0.342,0.272,0.426,1.105
3.0,-30.0,0,0.446,675,4.634,2.867,2.278,3.574,4.557
3.0,-30.0,1,0.688,99,0.553,0.343,0.272,0.427,1.107
3.0,-30.0,0,0.45,674,4.62,2.862,2.275,3.565,4.551
3.0,0.0,0,0.269,547,4.444,2.734,2.164,3.418,4.328
3.0,0.0,0,0.244,548,4.451,2.738,2.168,3.423,4.335
3.0,0.0,0,0.213,548,4.45,2.738,2.167,3.423,4.334
3.0,0.0,0,0.163,109,0.664,0.409,0.323,0.511,1.021
3.0,0.0,0,0.167,547,4.494,2.778,2.206,3.464,4.411
3.0,0.0,0,0.163,108,0.664,0.411,0.326,0.512,1.024
3.0,0.0,1,0.156,72,0.406,0.251,0.199,0.313,0.813
3.0,30.0,0,0.66,526,3.659,2.259,1.793,2.819,3.586
3.0,30.0,0,0.588,527,3.655,2.257,1.791,2.816,3.581
3.0,30.0,1,0.536,98,0.545,0.336,0.267,0.42,1.09
3.0,30.0,1,0.51,98,0.545,0.336,0.267,0.42,1.09
3.0,30.0,0,0.298,92,0.636,0.393,0.312,0.49,0.98
3.0,30.0,0,0.656,526,3.656,2.26,1.794,2.818,3.589
3.0,30.0,0,0.583,527,3.651,2.257,1.792,2.814,3.584
3.0,30.0,1,0.522,98,0.546,0.337,0.268,0.421,1.092
3.0,30.0,1,0.504,98,0.546,0.337,0.268,0.421,1.092
3.0,30.0,0,0.295,92,0.636,0.393,0.312,0.49,0.98
3.0,60.0,1,0.565,104,0.58,0.359,0.285,0.447,0.895
3.0,60.0,0,0.361,601,3.627,2.242,1.78,2.796,3.56
3.0,60.0,0,0.173,74,0.556,0.343,0.273,0.428,1.111
3.0,60.0,1,0.564,104,0.579,0.358,0.284,0.446,0.893
3.0,60.0,0,0.361,601,3.62,2.235,1.774,2.789,3.547
3.0,60.0,0,0.174,74,0.555,0.342,0.272,0.427,1.109
4.0,-60.0,0,0.604,598,3.797,2.342,1.857,2.924,3.714
4.0,-60.0,1,0.554,81,0.558,0.344,0.273,0.43,1.116
4.0,-60.0,1,0.471,81,0.558,0.344,0.273,0.43,1.116
4.0,-60.0,0,0.379,122,0.639,0.394,0.313,0.492,0.984
4.0,-60.0,0,0.195,122,0.639,0.394,0.313,0.492,0.984
4.0,-60.0,0,0.604,598,3.797,2.342,1.857,2.924,3.714
4.0,-60.0,1,0.554,81,0.558,0.344,0.273,0.43,1.116
4.0,-60.0,1,0.471,81,0.558,0.344,0.273,0.43,1.116
4.0,-60.0,0,0.379,122,0.639,0.394,0.313,0.492,0.984
4.0,-60.0,0,0.195,122,0.639,0.394,0.313,0.492,0.984
4.0,-30.0,0,0.698,507,4.018,2.475,1.961,3.092,3.921
4.0,-30.0,0,0.546,508,4.039,2.488,1.971,3.108,3.942
4.0,-30.0,1,0.448,78,0.533,0.329,0.26,0.41,1.067
4.0,-30.0,0,0.19,646,4.035,2.486,1.969,3.105,3.938
4.0,-30.0,0,0.698,506,4.007,2.469,1.956,3.084,3.911
4.0,-30.0,0,0.546,508,4.039,2.488,1.971,3.108,3.942
4.0,-30.0,1,0.449,78,0.533,0.329,0.26,0.41,1.067
4.0,-30.0,0,0.195,645,4.021,2.477,1.962,3.095,3.925
4.0,0.0,0,0.334,444,4.242,2.622,2.082,3.27,4.164
4.0,0.0,0,0.21,79,0.582,0.36,0.286,0.449,0.897
