expected_range,object,surface,e_0.0,e_0.45,e_0.75,e_1.0,r_0.0,r_0.45,r_0.75,r_1.0
2.055,laptop,1.015,1.163,0.304,0.276,0.753,4.226,3.254,2.606,2.067
2.055,laptop,1.015,1.163,0.304,0.276,0.753,4.226,3.254,2.606,2.067
1.537,laptop,1.015,0.89,0.189,0.282,0.672,3.264,2.429,1.873,1.41
1.537,laptop,1.015,0.884,0.183,0.288,0.678,3.257,2.422,1.866,1.403
1.492,laptop,1.015,1.183,0.339,0.234,0.701,3.325,2.366,1.727,1.194
1.492,laptop,1.015,1.183,0.339,0.234,0.701,3.325,2.366,1.727,1.194
2.549,laptop,1.015,1.313,0.332,0.323,0.868,4.695,3.616,2.896,2.296
2.549,laptop,1.015,1.305,0.324,0.331,0.876,4.686,3.606,2.887,2.287
1.865,laptop,1.015,0.89,0.175,0.312,0.71,3.312,2.464,1.898,1.427
1.848,laptop,1.015,0.896,0.18,0.306,0.704,3.319,2.471,1.905,1.434
2.12,laptop,1.015,2.247,0.732,0.282,1.122,5.119,3.538,2.484,1.605
2.12,laptop,1.015,2.247,0.732,0.282,1.122,5.119,3.538,2.484,1.605
1.012,laptop,1.015,0.591,0.065,0.289,0.581,2.244,1.551,1.089,0.704
1.012,laptop,1.015,0.591,0.065,0.289,0.581,2.244,1.551,1.089,0.704
1.79,book,1.015,1.145,0.362,0.213,0.635,3.549,2.636,2.027,1.52
1.79,book,1.015,1.152,0.368,0.207,0.628,3.557,2.644,2.035,1.528
2.35,book,1.015,1.37,0.468,0.159,0.649,3.957,2.946,2.271,1.709
2.35,book,1.015,1.361,0.463,0.161,0.649,3.95,2.942,2.271,1.711
1.564,mug,1.015,0.779,0.217,0.165,0.476,2.824,2.102,1.621,1.22
1.564,mug,1.015,0.772,0.211,0.169,0.479,2.818,2.097,1.617,1.217
1.938,mug,1.015,1.006,0.294,0.189,0.582,2.919,2.076,1.513,1.044
1.938,mug,1.015,1.006,0.294,0.189,0.582,2.919,2.076,1.513,1.044
1.857,mug,1.015,0.875,0.255,0.169,0.511,2.993,2.225,1.713,1.286
2.026,mug,1.015,0.873,0.255,0.17,0.51,2.993,2.226,1.715,1.289
0.775,mug,1.015,0.428,0.083,0.164,0.358,1.854,1.283,0.902,0.585
0.775,mug,1.015,0.425,0.08,0.167,0.36,1.85,1.278,0.898,0.58
1.755,floor_box,0.0,0.553,0.832,1.018,1.173,2.312,1.782,1.429,1.135
1.767,floor_box,0.0,0.554,0.832,1.018,1.173,2.315,1.785,1.432,1.138
1.363,floor_box,0.0,0.361,0.603,0.764,0.898,1.994,1.483,1.143,0.859
1.363,floor_box,0.0,0.365,0.607,0.768,0.902,1.985,1.475,1.134,0.85
2.533,floor_box,0.0,0.669,1.216,1.58,1.884,2.451,1.742,1.27,0.877
2.533,floor_box,0.0,0.669,1.216,1.58,1.884,2.451,1.742,1.27,0.877
1.37,floor_box,0.0,0.366,0.605,0.765,0.899,1.993,1.483,1.142,0.859
1.37,floor_box,0.0,0.364,0.603,0.763,0.897,1.997,1.487,1.146,0.863
2.148,floor_box,0.0,0.709,1.232,1.581,1.872,2.236,1.545,1.085,0.701
2.148,floor_box,0.0,0.699,1.224,1.574,1.866,2.246,1.554,1.093,0.708
1.71,floor_box,0.0,0.667,1.068,1.336,1.559,1.951,1.348,0.946,0.611
1.721,floor_box,0.0,0.662,1.066,1.335,1.559,1.955,1.35,0.947,0.611
