object,width_m,prompt,slant_m,clearance_m,flyable,expected_px,trials,hits,recall,measured_px
laptop,0.375,laptop,0.7,0.39,0,287.7,9,9,1.0,485.6
laptop,0.375,laptop,0.9,0.54,0,223.8,9,9,1.0,367.4
laptop,0.375,laptop,1.1,0.7,1,183.1,9,9,1.0,327.4
laptop,0.375,laptop,1.4,0.93,1,143.8,9,9,1.0,219.3
laptop,0.375,laptop,1.8,1.23,1,111.9,9,9,1.0,166.6
laptop,0.375,laptop,2.3,1.62,1,87.6,9,9,1.0,128.2
laptop,0.375,laptop,3.0,2.15,1,67.1,9,9,1.0,96.7
book,0.21,book,0.7,0.32,0,161.1,9,0,0.0,
book,0.21,book,0.9,0.47,0,125.3,9,0,0.0,
book,0.21,book,1.1,0.63,1,102.5,9,0,0.0,
book,0.21,book,1.4,0.86,1,80.6,9,0,0.0,
book,0.21,book,1.8,1.16,1,62.7,9,0,0.0,
book,0.21,book,2.3,1.55,1,49.0,9,0,0.0,
book,0.21,book,3.0,2.08,1,37.6,9,0,0.0,
mug,0.166,mug,0.7,0.34,0,127.4,9,8,0.889,165.8
mug,0.166,mug,0.9,0.5,0,99.1,9,6,0.667,120.5
mug,0.166,mug,1.1,0.65,1,81.0,9,3,0.333,109.3
mug,0.166,mug,1.4,0.88,1,63.7,9,3,0.333,83.7
mug,0.166,mug,1.8,1.18,1,49.5,9,0,0.0,
mug,0.166,mug,2.3,1.57,1,38.8,9,0,0.0,
mug,0.166,mug,3.0,2.1,1,29.7,9,0,0.0,
phone,0.16,phone,0.7,0.3,0,122.8,9,3,0.333,74.7
phone,0.16,phone,0.9,0.45,0,95.5,9,0,0.0,
phone,0.16,phone,1.1,0.6,1,78.1,9,0,0.0,
phone,0.16,phone,1.4,0.83,1,61.4,9,0,0.0,
phone,0.16,phone,1.8,1.14,1,47.7,9,0,0.0,
phone,0.16,phone,2.3,1.52,1,37.4,9,0,0.0,
phone,0.16,phone,3.0,2.06,1,28.6,9,0,0.0,
